Месяц;Цена;Инфляция в стране;
May.17;29,3;0,37;
Jun.17;15,3;0,61;
Jul.17;10,89;0,07;
Aug.17;10,32;-0,54;
Sep.17;11,21;-0,15;
Oct.17;12,13;0,20;
Nov.17;13,3;0,22;
Dec.17;14,19;0,42;
Jan.18;14,5;0,31;
Feb.18;17,5;0,21;
Mar.18;20,1;0,29;
Apr.18;19,17;0,38;
May.18;12,52;0,38;
Jun.18;19,43;0,49;
Jul.18;16,26;0,27;
Aug.18;12,53;0,01;
Sep.18;9,91;0,16;
Oct.18;11,76;0,35;
Nov.18;12,33;0,5;
Dec.18;9,89;0,84;
Jan.19;8;1,01;
Feb.19;9,5;0,44;
Mar.19;9,7;0,32;
Apr.19;9,87;0,29;
May.19;10,32;0,34;
Jun.19;12,43;0,04;
Jul.19;20,21;0,020;
Aug.19;12,23;-0,24;
Sep.19;9;-0,16;
Oct.19;11,21;0,13;
Nov.19;13,23;0,28;
Dec.19;14,43;0,36;
Jan.20;8;0,4;
Feb.20;9,5;0,33;
Mar.20;9,7;0,55;
Apr.20;9,87;0,83;
May.20;10,32;0,27;
Jun.20;12,43;0,22;
Jul.20;20,21;0,35;
Aug.20;12,23;-0,04;
Sep.20;9;-0,07;
Oct.20;11,21;0,43;
Nov.20;13,23;0,71;
Dec.20;14,43;0,83;
Jan.21;16,97;0,67;
Feb.21;17,23;0,78;
Mar.21;17,78;0,66;
Apr.21;19,12;0,58;
May.21;18,11;0,74;
Jun.21;26,4;0,69;
Jul.21;28,12;0,31;
Aug.21;30,12;0,17;
Sep.21;32,43;1,11;
Oct.21;36,25;0,96;
Nov.21;39,34;0,82;
Dec.21;41,89;0,82;
Jan.22;47,97;0,99;
Feb.22;48,33;1,17;
Mar.22;53,1;1,21;
Apr.22;59,85;1,56;
May.22;66,77;0,12;
Jun.22;64,66;-0,35;
Jul.22;47,35;-0,39;
Aug.22;34,39;-0,52;
Sep.22;28,94;0,05;
Oct.22;30,01;0,23;
Nov.22;30,76;0,37;
Dec.22;31,91;0,78;
Jan.23;33,09;0,84;
Feb.23;35,37;0,46;
Mar.23;33,92;0,37;
Apr.23;33,02;0,38;
May.23;36,31;0,31;
Jun.23;37,97;0,37;
Jul.23;46,43;0,63;
Aug.23;42,97;0,28;
Sep.23;32,54;0,87;
Oct.23;30,23;0,83;
Nov.23;27,82;1,11;
Dec.23;27,61;0,82;